읍면동,종합라벨,시장,추천종목_1,추천종목_2,추천종목_3,추천종목_4,추천종목_5,region_id,stock_ids
성곡동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,245,[]
성곡동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,245,"[240, 195, 196, 270, 279]"
성남동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,315,"[238, 248, 256, 195, 196]"
성남동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,315,[]
성내1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,716,"[238, 248, 256, 195, 196]"
성내1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,716,[]
성내2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,717,[]
성내2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,717,"[238, 248, 256, 195, 196]"
성내3동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,718,[]
성내3동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,718,"[238, 248, 256, 195, 196]"
성복동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,528,"[238, 248, 256, 195, 196]"
성복동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,528,[]
성북동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,955,[]
성북동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,955,"[238, 248, 256, 195, 196]"
성사1동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,95,"[240, 195, 196, 270, 279]"
성사1동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,95,[]
성사2동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,96,"[240, 195, 196, 270, 279]"
성사2동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,96,[]
성산1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,890,"[238, 248, 256, 195, 196]"
성산1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,890,[]
성산2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,891,[]
성산2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,891,"[238, 248, 256, 195, 196]"
성수1가1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,935,[]
성수1가1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,935,"[238, 248, 256, 195, 196]"
성수1가2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,936,[]
성수1가2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,936,"[238, 248, 256, 195, 196]"
성수2가1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,937,[]
성수2가1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,937,"[238, 248, 256, 195, 196]"
성수2가3동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,938,"[238, 248, 256, 195, 196]"
성수2가3동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,938,[]
성포동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,403,[]
